strategy,family,parameter,side,input,output,average_price,slippage_bps
dodo-k50000000000000000,dodo,K=50000000000000000,buy_x,0.1,0.000999999,100.00010000010002,-0.01000000000139778
dodo-k50000000000000000,dodo,K=50000000000000000,buy_x,1,0.009999949,100.00051000260102,-0.05100000000091143
dodo-k50000000000000000,dodo,K=50000000000000000,buy_x,10,0.099994995,100.00500525051278,-0.5004999999991266
dodo-k50000000000000000,dodo,K=50000000000000000,buy_x,50,0.499874435,100.02511930821187,-2.511299999999883
dodo-k50000000000000000,dodo,K=50000000000000000,buy_x,100,0.999495461,100.05047936881026,-5.0453900000002605
dodo-k50000000000000000,dodo,K=50000000000000000,buy_x,500,4.986912698,100.26243294784864,-26.174603999998823
dodo-k50000000000000000,dodo,K=50000000000000000,buy_x,1000,9.945086425,100.55216790134632,-54.91357500000071
dodo-k50000000000000000,dodo,K=50000000000000000,buy_x,2500,24.598747782,101.63118960995898,-160.5008871999991
dodo-k50000000000000000,dodo,K=50000000000000000,sell_x,0.0001,0.009999999,99.99999,-0.0010000000005838672
dodo-k50000000000000000,dodo,K=50000000000000000,sell_x,0.001,0.099999949,99.999949,-0.005100000000091143
dodo-k50000000000000000,dodo,K=50000000000000000,sell_x,0.01,0.999994999,99.9994999,-0.05001000000004474
dodo-k50000000000000000,dodo,K=50000000000000000,sell_x,0.1,9.999499549,99.99499549,-0.5004510000006235
dodo-k50000000000000000,dodo,K=50000000000000000,sell_x,0.5,49.98744351,99.97488702,-2.511298000000828
dodo-k50000000000000000,dodo,K=50000000000000000,sell_x,1,99.949546157,99.949546157,-5.045384299999789
dodo-k50000000000000000,dodo,K=50000000000000000,sell_x,5,498.691269857,99.7382539714,-26.174602859999617
dodo-k50000000000000000,dodo,K=50000000000000000,sell_x,10,994.508642555,99.45086425550001,-54.91357444999956
dodo-k50000000000000000,dodo,K=50000000000000000,sell_x,25,2459.874778289,98.39499113156,-160.50088684399944
flashbots-c20,flashbots,concentration=20,buy_x,0.01,0.000099999,100.0010000100001,-0.0999999999995449
flashbots-c20,flashbots,concentration=20,buy_x,0.1,0.000999999,100.00010000010002,-0.01000000000139778
flashbots-c20,flashbots,concentration=20,buy_x,1,0.00999995,100.0005000025,-0.04999999999921734
flashbots-c20,flashbots,concentration=20,buy_x,10,0.099995,100.0050002500125,-0.49999999999994493
flashbots-c20,flashbots,concentration=20,buy_x,50,0.499875031,100.0250000484621,-2.499379999999496
flashbots-c20,flashbots,concentration=20,buy_x,100,0.999500249,100.05000008759377,-4.997509999999927
flashbots-c20,flashbots,concentration=20,buy_x,500,4.987531172,100.2500000014035,-24.93765600000031
flashbots-c20,flashbots,concentration=20,buy_x,1000,9.950248756,100.500000002211,-49.7512439999992
flashbots-c20,flashbots,concentration=20,buy_x,2500,24.691358024,101.25000000283501,-123.45679040000057
flashbots-c20,flashbots,concentration=20,sell_x,0.0001,0.009999999,99.99999,-0.0010000000005838672
flashbots-c20,flashbots,concentration=20,sell_x,0.001,0.09999995,99.99995,-0.00500000000069889
flashbots-c20,flashbots,concentration=20,sell_x,0.01,0.999995,99.9995,-0.05000000000032756
flashbots-c20,flashbots,concentration=20,sell_x,0.1,9.999500024,99.99500024,-0.4999760000001796
flashbots-c20,flashbots,concentration=20,sell_x,0.5,49.987503124,99.975006248,-2.499375200000209
flashbots-c20,flashbots,concentration=20,sell_x,1,99.950024987,99.950024987,-4.9975012999992074
flashbots-c20,flashbots,concentration=20,sell_x,5,498.753117206,99.7506234412,-24.93765587999963
flashbots-c20,flashbots,concentration=20,sell_x,10,995.024875621,99.5024875621,-49.7512437899994
flashbots-c20,flashbots,concentration=20,sell_x,25,2469.135802469,98.76543209875999,-123.45679012400134
dodo-k20000000000000000,dodo,K=20000000000000000,buy_x,0.01,0.000099999,100.0010000100001,-0.0999999999995449
dodo-k20000000000000000,dodo,K=20000000000000000,buy_x,0.1,0.000999999,100.00010000010002,-0.01000000000139778
dodo-k20000000000000000,dodo,K=20000000000000000,buy_x,1,0.009999979,100.00021000044099,-0.020999999998938534
dodo-k20000000000000000,dodo,K=20000000000000000,buy_x,10,0.099997998,100.00200204008084,-0.20020000000009475
dodo-k20000000000000000,dodo,K=20000000000000000,buy_x,50,0.499949758,100.01004940980489,-1.0048399999995627
dodo-k20000000000000000,dodo,K=20000000000000000,buy_x,100,0.999798061,100.02019797875963,-2.0193899999998433
dodo-k20000000000000000,dodo,K=20000000000000000,buy_x,500,4.994748183,100.1051467823318,-10.503634000000872
dodo-k20000000000000000,dodo,K=20000000000000000,buy_x,1000,9.977881409,100.221676226579,-22.11859099999991
dodo-k20000000000000000,dodo,K=20000000000000000,buy_x,2500,24.835873667,100.66084380682801,-65.65053319999903
dodo-k20000000000000000,dodo,K=20000000000000000,sell_x,0.0001,0.009999999,99.99999,-0.0010000000005838672
dodo-k20000000000000000,dodo,K=20000000000000000,sell_x,0.001,0.099999979,99.999979,-0.0021000000005599873
dodo-k20000000000000000,dodo,K=20000000000000000,sell_x,0.01,0.999997999,99.9997999,-0.020010000000292294
dodo-k20000000000000000,dodo,K=20000000000000000,sell_x,0.1,9.999799807,99.99799807,-0.2001930000006258
dodo-k20000000000000000,dodo,K=20000000000000000,sell_x,0.5,49.994975886,99.989951772,-1.00482280000036
dodo-k20000000000000000,dodo,K=20000000000000000,sell_x,1,99.979806179,99.979806179,-2.0193821000003
dodo-k20000000000000000,dodo,K=20000000000000000,sell_x,5,499.474818308,99.8949636616,-10.50363383999997
dodo-k20000000000000000,dodo,K=20000000000000000,sell_x,10,997.788140981,99.7788140981,-22.118590190000063
dodo-k20000000000000000,dodo,K=20000000000000000,sell_x,25,2483.587366715,99.3434946686,-65.65053314000036
flashbots-c50,flashbots,concentration=50,buy_x,0.01,0.000099999,100.0010000100001,-0.0999999999995449
flashbots-c50,flashbots,concentration=50,buy_x,0.1,0.000999999,100.00010000010002,-0.01000000000139778
flashbots-c50,flashbots,concentration=50,buy_x,1,0.00999998,100.0002000004,-0.01999999999946489
flashbots-c50,flashbots,concentration=50,buy_x,10,0.099998,100.0020000400008,-0.1999999999990898
flashbots-c50,flashbots,concentration=50,buy_x,50,0.499950004,100.01000019994,-0.999919999999932
flashbots-c50,flashbots,concentration=50,buy_x,100,0.999800039,100.02000009923984,-1.9996099999997075
flashbots-c50,flashbots,concentration=50,buy_x,500,4.995004995,100.1000000001001,-9.990009999999439
flashbots-c50,flashbots,concentration=50,buy_x,1000,9.98003992,100.2000000016032,-19.960079999999934
flashbots-c50,flashbots,concentration=50,buy_x,2500,24.87562189,100.500000002211,-49.7512439999992
flashbots-c50,flashbots,concentration=50,sell_x,0.0001,0.009999999,99.99999,-0.0010000000005838672
flashbots-c50,flashbots,concentration=50,sell_x,0.001,0.09999998,99.99998,-0.0020000000011677344
flashbots-c50,flashbots,concentration=50,sell_x,0.01,0.999998,99.99980000000001,-0.01999999999946489
flashbots-c50,flashbots,concentration=50,sell_x,0.1,9.999800003,99.99800003,-0.1999969999999518
flashbots-c50,flashbots,concentration=50,sell_x,0.5,49.995000499,99.990000998,-0.9999002000005142
flashbots-c50,flashbots,concentration=50,sell_x,1,99.980003999,99.980003999,-1.9996000999999985
flashbots-c50,flashbots,concentration=50,sell_x,5,499.5004995,99.9000999,-9.990009999999439
flashbots-c50,flashbots,concentration=50,sell_x,10,998.003992015,99.8003992015,-19.96007984999992
