treatment,baseline,metric,samples,mean,p5,p50,p95,std_error,ci95_low,ci95_high,t_stat,paired_win_rate,significant_95
univ3-conc-c1000,univ2-zero-fee,arbitrageEdge,1000,-12215.894983617818,-31438.429871124972,-10613.24014231621,-413.55195042099604,306.9866792596658,-12817.577818700312,-11614.212148535324,-39.792915487661794,0.041,true
dodo-k1000000000000000000,univ3-full-range-zero-fee,netEdge,1000,398.8841589676178,4.593485805108003,295.11834986179747,1099.3228454606042,11.725211308231822,375.9031670923616,421.86515084287396,34.01935781639828,0.999,true
dodo-k1000000000000000000,univ3-full-range-zero-fee,retailEdge,1000,11.39647309240879,-13.768721985089542,3.039799751597627,73.66736115145522,1.0838386969662466,9.272188281304125,13.520757903513456,10.514916217983776,0.655,true
dodo-k1000000000000000000,univ3-full-range-zero-fee,arbitrageEdge,1000,387.4876858752097,3.652657934873787,279.4022523388194,1090.0580410684317,11.50676397760178,364.93484290050736,410.04052884991205,33.674774821962515,0.989,true
flashbots-c1,univ3-full-range-zero-fee,netEdge,1000,398.90928346450033,4.623686321904245,295.29642911991687,1098.4414609923865,11.726518537899972,375.9257294661751,421.8928374628256,34.01770799877475,0.999,true
flashbots-c1,univ3-full-range-zero-fee,retailEdge,1000,64.47737277472407,-176.92237815739304,8.7228280479967,456.6199341330034,6.985567061517126,50.78591292256121,78.16883262688694,9.230084287634178,0.56,true
flashbots-c1,univ3-full-range-zero-fee,arbitrageEdge,1000,334.4319106897763,-77.42487137406033,206.52068753178992,1178.783274922478,13.326257015001346,308.31292689164945,360.5508944879032,25.095712195352892,0.862,true
dodo-k500000000000000000,univ3-full-range-zero-fee,netEdge,1000,398.82328499536567,4.613424978694951,295.09329572465913,1099.1781376870968,11.72624872445433,375.84025982167645,421.8063101690549,34.01115688119813,0.999,true
dodo-k500000000000000000,univ3-full-range-zero-fee,retailEdge,1000,-663.9779718905895,-1412.4815893318626,-578.0859979734955,-204.65182965532642,11.675311281890199,-686.8611615113884,-641.0947822697906,-56.87025860462484,0,true
dodo-k500000000000000000,univ3-full-range-zero-fee,arbitrageEdge,1000,1062.8012568859547,336.5562649648974,998.9952543281076,2056.9021031375314,16.439487939741404,1030.580452599781,1095.0220611721284,64.6492920449609,1,true
flashbots-c2,univ3-full-range-zero-fee,netEdge,1000,398.83511194331703,4.625444439146776,295.1751993838252,1098.7196588507345,11.727177262136017,375.8502668692134,421.8199570174207,34.009472444068116,0.999,true
flashbots-c2,univ3-full-range-zero-fee,retailEdge,1000,-648.3957325670323,-1366.0213400421571,-563.142380335496,-196.0758292128298,11.38565189898672,-670.7112002295563,-626.0802649045082,-56.94849432598031,0,true
flashbots-c2,univ3-full-range-zero-fee,arbitrageEdge,1000,1047.2308445103495,341.6635300314127,983.0627168443323,1995.7150122643006,16.189050441408188,1015.5008887012872,1078.9608003194119,64.68760155516924,1,true
